,state.pn,state.pe,state.vn,state.ve,next_state.pn,next_state.pe,next_state.vn,next_state.ve,action_vel.vn,action_vel.ve,action
0,-1.616691853928566,0.2774913669586182,-0.00022951683701197988,0.0005457430040370168,-1.8506720571041106,0.39797323909401894,-0.2926100657178811,0.13578560364204162,-0.21213204,0.21213204,4
1,-1.8506720571041106,0.39797323909401894,-0.2926100657178811,0.13578560364204162,-1.8832931390285492,0.6446203184843063,0.11803421765781161,0.28468094276348005,0.0,0.3,5
2,-1.8832931390285492,0.6446203184843063,0.11803421765781161,0.28468094276348005,-1.7030035385370257,0.5519930842518807,0.2267116735610216,-0.19156793266837377,0.21213204,-0.21213204,8
3,-1.7030035385370257,0.5519930842518807,0.2267116735610216,-0.19156793266837377,-1.9412991716861727,0.5182356020092964,-0.2598708306270348,-0.010752718527073372,-0.3,0.0,7
4,-1.9412991716861727,0.5182356020092964,-0.2598708306270348,-0.010752718527073372,-1.9896609717130662,0.7515003941416741,-0.18257248347414737,0.1893421371101558,0.0,0.3,5
5,-1.9896609717130662,0.7515003941416741,-0.18257248347414737,0.1893421371101558,-2.205065594148636,0.6239045712828636,-0.2728976094015402,-0.17293719827400383,-0.21213204,-0.21213204,2
6,-2.205065594148636,0.6239045712828636,-0.2728976094015402,-0.17293719827400383,-1.9726357383251192,0.5994362401247024,0.2534092863878842,-0.009309446188801262,0.3,0.0,3
7,-1.9726357383251192,0.5994362401247024,0.2534092863878842,-0.009309446188801262,-1.9311918954610827,0.6000409341096877,0.002917121041218708,-0.003651760293150407,0.0,0.0,0
8,-1.9311918954610827,0.6000409341096877,0.002917121041218708,-0.003651760293150407,-2.174923027086258,0.45859437822103505,-0.26318656972670196,-0.1503668081350875,-0.21213204,-0.21213204,2
9,-2.174923027086258,0.45859437822103505,-0.26318656972670196,-0.1503668081350875,-1.9337574241161346,0.43546370486021047,0.23521872563262747,0.007222278414580712,0.3,0.0,3
10,-1.9337574241161346,0.43546370486021047,0.23521872563262747,0.007222278414580712,-2.16319693775177,0.43334423882961276,-0.26081045837857986,0.009821235524972445,-0.3,0.0,7
11,-2.16319693775177,0.43334423882961276,-0.26081045837857986,0.009821235524972445,-1.9617513545751573,0.3043948806107044,0.2662651248982791,-0.14220815963314007,0.21213204,-0.21213204,8
12,-1.9617513545751573,0.3043948806107044,0.2662651248982791,-0.14220815963314007,-1.6636605997085572,0.29133686821460725,0.3079274958731266,0.0005362541741462532,0.3,0.0,3
13,-1.6636605997085572,0.29133686821460725,0.3079274958731266,0.0005362541741462532,-1.6032262937784196,0.029193266928568485,0.03865045188598258,-0.3206653206373962,0.0,-0.3,1
14,-1.6032262937784196,0.029193266928568485,0.03865045188598258,-0.3206653206373962,-1.591654182457924,0.23518401394784452,0.01351299719399444,0.3054098845876097,0.0,0.3,5
15,-1.591654182457924,0.23518401394784452,0.01351299719399444,0.3054098845876097,-1.8006258606672287,0.11957542172074319,-0.24514744443743636,-0.15589986399812011,-0.21213204,-0.21213204,2
16,-1.8006258606672287,0.11957542172074319,-0.24514744443743636,-0.15589986399812011,-1.8105341697216035,-0.16104694846272471,-0.010952924168905268,-0.2880291594199459,0.0,-0.3,1
17,-1.8105341697216035,-0.16104694846272471,-0.010952924168905268,-0.2880291594199459,-1.5771936628818513,-0.05489172909334302,0.274384934015651,0.14085046270445864,0.21213204,0.21213204,6
18,-1.5771936628818513,-0.05489172909334302,0.274384934015651,0.14085046270445864,-1.5209977417469025,-0.2933788902759552,0.004797869235926716,-0.28366111334668276,0.0,-0.3,1
19,-1.5209977417469025,-0.2933788902759552,0.004797869235926716,-0.28366111334668276,-1.5202505843877792,-0.3253478688657284,-0.00040075388206366164,0.00025755160643638013,0.0,0.0,0
20,-1.5202505843877792,-0.3253478688657284,-0.00040075388206366164,0.00025755160643638013,-1.2759125259876252,-0.19060655389428138,0.27091365689477415,0.1520685556367599,0.21213204,0.21213204,6
